No,日本語,英語
1,与える,give
2,食べる,eat
3,考える,think
4,飛ぶ,fly
5,旅行する,travel
6,歌う,sing
7,切る,cut
8,持っている,have
9,行く,go
10,滞在する,stay
11,保存する,keep
12,する,play
13,作る・〜にする,make
14,笑う,laugh
15,ほほえむ,smile
16,飲む,drink
17,始める・始まる,start
18,知っている,know
19,好きだ,like
20,働く・機能する・作用する,work
21,話す,speak
22,走る,run
23,待つ,wait
24,教える,teach
25,やめる・止まる,stop
26,手伝う・助ける,help
27,曲がる,turn
28,戻る,return
29,買う,buy
30,書く,write
31,立っている,stand
32,伝える,tell
33,動く,move
34,する,do
35,歩く,walk
36,雨が降る,rain
37,見る,watch
38,読む,read
39,勉強する,study
40,終わる,end
41,話す,talk
42,見せる,show
43,掃除する、きれいな,clean
44,〜と呼ぶ・電話をかける,call
45,始める・始まる,begin
46,開ける,open
47,閉める、近い,close
48,見る,look
49,言う,say
50,試す,try
51,眠る,sleep
52,終える,finish
53,運転する,drive
54,住んでいる,live
55,見える・会う,see
56,学ぶ,learn
57,到着する,arrive
58,大好きだ,love
59,ほしい,want
60,必要とする,need
61,〜のにおいがする,smell
62,料理する,cook
63,出発する,leave
64,(絵を)描く・ペンキを塗る,paint
65,送る,send
66,聞く,listen
67,聞こえる,hear
68,座る,sit
69,落ちる,fall
70,とる・持っていく,take
71,持ってくる,bring
72,洗う,wash
73,雪が降る,snow
74,会う,meet
75,使う,use
76,〜のように聞こえる,sound
77,壊す,break
78,楽しむ,enjoy
79,練習する,practice
80,来る,come
81,たずねる,ask
82,渡す,pass
83,指差す・指摘する,point
84,(絵・図を)描く,draw
85,〜の味がする,taste
86,〜のように感じる,feel
87,〜になる,become
88,泳ぐ,swim
89,貸す,lend
90,得る・〜になる,get
91,寺,temple
92,神社,shrine
93,宮殿,palace
94,書道・カリグラフィー,calligraphy
95,祈る,pray
96,花火,firework
97,温泉,hot spring
98,箸,chopsticks
99,扇・扇子・ファン(支持者),fan
100,祝う,celebrate
101,花,flower
102,空,sky
103,山,mountain
104,木,tree
105,星・スター,star
106,世界,world
107,氷,ice
108,村,village
109,都市・市,city
110,町・街,town
111,駅,station
112,線・(鉄道などの)〜線,line
113,ホテル,hotel
114,本屋,bookstore
115,レストラン,restaurant
116,スーパーマーケット,supermarket
117,会社・オフィス,office
118,病院,hospital
119,公園・駐車する,park
120,図書館,library
121,通り,street
122,店,shop
123,買い物,shopping
124,切符・チケット,ticket
125,マンガ,comic
126,人形,doll
127,かばん・バッグ,bag
128,カメラ,camera
129,手紙,letter
130,釣り,fishing
131,歌,song
132,家,house
133,床・階,floor
134,台所,kitchen
135,部屋,room
136,浴室・風呂,bath
137,ペット,pet
138,カギ,key
139,ソファ,sofa
140,ベッド,bed
141,角(かど・すみ),corner
142,鏡,mirror
143,庭,garden
144,ベンチ,bench
145,ラジオ,radio
146,ネット・編み,net
147,かご,basket
148,コンピュータ,computer
149,インターネット,Internet
150,ロボット,robot
151,Eメール,e-mail
152,電話,phone
153,メッセージ・伝言,message
154,時間,time
155,朝,morning
156,正午,noon
157,夕方,evening
158,夜,night
159,夢,dream
160,名前、名づける,name
161,誕生日,birthday
162,プレゼント・贈り物,present
163,パーティー,party
164,コイン・硬貨,coin
165,お金,money
166,中心・センター,center
167,全面・正面,front
168,試合・ゲーム,game
169,映画,movie
170,ニュース,news
171,紙・新聞,paper
172,物語・話,story
173,ページ,page
174,コンテスト,contest
175,できごと・イベント,event
176,音楽,music
177,コンサート,concert
178,バンド,band
179,番組・プログラム,program
180,ダンス・踊り,dance
181,グループ・集団,group
182,チーム,team
183,数・番号,number
184,半分・30分,half
185,ルール・規則、支配する,rule
186,ゴール・目標,goal
187,楽しみ,fun
188,将来・未来,future
189,瞬間,moment
190,変化,change
191,LINE(ライン),LINE
192,Social Networking Serviceの略,SNS
193,Wi-Fi,Wi-Fi
194,スマートフォン,smartphone
195,ツイートする(Twitterでつぶやく),tweet
196,投稿する,post
197,インフルエンザ,flu
198,ハリケーン,hurricane
199,語彙,vicabulary
200,文法,grammar
201,驚いて,surprised
202,ワクワクして,excited
203,うれしい,glad
204,幸せな・うれしい,happy
205,自由な・暇な・無料の,free
206,疲れた,tired
207,たくさんの,many
208,たくさんの,much
209,(a fewで)少しの・2、3の,few
210,少ない・小さい,little
211,美しい,beautiful
212,大きい,big
213,大きい,large
214,小さい,small
215,怖がって,afraid
216,静かな,quiet
217,気分が悪い,sick
218,左の,left
219,右の・正しい,right
220,奇妙な,strange
221,おもしろい,interesting
222,興味を持った,interested
223,かわいい,cute
224,悪い,bad
225,よい・上手な,good
226,貧しい・かわいそうな,poor
227,裕福な,rich
228,新しい,new
229,若い,young
230,古い・年をとった,old
231,現実の・本当の,real
232,国際的な,international
233,特別の,special
234,安全な,safe
235,危険な,dagerous
236,柔らかな,soft
237,簡単な,easy
238,難しい,difficult
239,すてきな,nice
240,一番好きな,favorite
241,暗い,dark
242,明るい・軽い,light
243,重い,heavy
244,高価な,expensive
245,安い,cheap
246,どの〜も・毎〜,every
247,悲しい,sad
248,同じ,same
249,涼しい・かっこいい,cool
250,暖かい,warm
251,違った,different
252,長い,long
253,かわいい,pretty
254,空腹の,hungry
255,喉が乾いた,thirsty
256,この前の・最後の,last
257,外国の,foregin
258,次の,next
259,1つも[まったく]〜ない,no
260,人気のある,popular
261,冷たい・寒い,cold
262,熱い・暑い,hot
263,忙しい,busy
264,速い,fast
265,遅い,slow
266,すばやい,guick
267,ほかの,other
268,もう１つの・別の,another
269,十分な,enough
270,病気の,ill
271,晴れた・よい・元気な,fine
272,衝撃を受けて,shocked
273,重要な,important
274,高い,high
275,低い・安い,low
276,真実の・本当の,true
277,いっぱいの,full
278,間違った,wrong
279,(背が）高い,tall
280,短い・背が低い,short
281,残念だ・気の毒で,sorry
282,すばらしい,wonderful
283,ぬれた,wet
284,怒って,angry
285,有名な,famous
286,深い,deep
287,汚い,dirty
288,退屈な,boring
289,強い,strong
290,すばらしい,great
291,星座占い,horoscope
292,運勢,fortune
293,ふせん,Post-it
294,チャーハン,fried rice
295,家事,housework
296,子育て,child raising
297,保育園,nursery
298,腹痛,stomachache
299,頭痛,headache
300,熱,fever
301,まもなく・すぐに,soon
302,いつでも,anytime
303,どこでも,anywhere
304,とにかく,anyway
305,定期的に,regularly
306,最近,nowadays
307,最近,recently
308,代わりに,instead
309,むしろ・やや,rather
310,したがって,therefore
311,そのほかに,else
312,前へ,ahead
313,一生懸命に,hard
314,ほとんど〜ない,hardly
315,ほとんど〜ない,scarcely
316,不運にも,unfortunately
317,ほとんど,nearly
318,〜もまた,also
319,早く,early
320,遅く,late
321,とても,very
322,〜すぎる・〜もまた,too
323,とても・そんなに,so
324,すでに・もう,already
325,再び・また,again
326,流ちょうに,fluently
327,いつか,someday
328,もはや,anymore
329,本当に,indeed
330,ありそうな,likely
331,突然に,suddenly
332,一度・かつて,once
333,二度,twice
334,ひょっとしたら,maybe
335,たぶん,perhaps
336,たぶん・おそらく,probably
337,いつか,sometime
338,一緒に,together
339,いつも,always
340,〜時,o'clock
341,ふつう・たいてい,usually
342,上へ,up
343,下へ,down
344,外に[で・へ],outside
345,内側に・内部に,inside
346,昨日は,yesterday
347,今日は,today
348,今晩は,tonight
349,明日は,tomorrow
350,ここで[に・へ],here
351,そこで[に・へ],there
352,〜だけ・たった,only
353,前へ,forward
354,どうぞ,please
355,外で[に],out
356,〜でない,not
357,ひとりで,alone
358,上の階へ,upstairs
359,海外へ[に],abroad
360,海外へ[に],overseas
361,離れて,off
362,離れて,away
363,遠くに,far
364,なんとかして,somehow
365,どこかで[に],somewhere
366,どこでも,everywhere
367,徐々に,gradually
368,ちょうど,just
369,しかしながら,however
370,まっすぐに,straight
371,世界的に,globally
372,今までに,ever
373,決して〜ない,never
374,とりわけ・特に,especially
375,実際は,actually
376,まだ,still
377,しばしば,often
378,〜でさえ,even
379,声に出して,aloud
380,今,now
381,よく・上手に,well
382,(疑問文で）もう・（否定文で）まだ,yet
383,(否定文で）〜も（ない）,either
384,確かに,certainly
385,そのとき・そして・それならば,then
386,ときどき,sometimes
387,かなり,quite
388,後ろへ,back
389,家に,home
390,永遠に,forever
391,LEDライト,LED
392,技術,technique
393,脳,brain
394,自動の,automatic
395,人工知能,AI
396,フルタイムの,full-time
397,アルバイトの,part-time
398,やらないといけないことのリスト,to-do list
399,(社会的・文化的に見た）性別,gender
400,ノートパソコン,laptop
401,思い出す・覚えている,remember
402,判断する,judge
403,コミュニケーションをとる,communicate
404,再利用する,recycle
405,急ぐ,hurry
406,タバコを吸う,smoke
407,結婚する,marry
408,落ちる・落とす,drop
409,泣く・叫ぶ,cry
410,触れる,touch
411,訪れる,visit
412,解決する・解く,solve
413,参加する,join
414,信じる,believe
415,繰り返す,repeat
416,説明する,explain
417,破壊する,destroy
418,準備する,prepare
419,運ぶ,carry
420,感謝する,thank
421,過ごす,spend
422,支払う,pay
423,現れる,appear
424,消える,disappear
425,出発する,attend
426,確認する,check
427,つかまえる,catch
428,解放する,release
429,届く・着く,reach
430,ジャンプする・跳ぶ,jump
431,集める,collect
432,覆う,cover
433,焼く,bake
434,入る,enter
435,育てる,grow
436,望む・願う,wish
437,ゆでる・沸かす,boil
438,カギをかける,lock
439,忘れる,forget
440,押す,push
441,打つ,hit
442,続ける,continue
443,決める,decide
444,理解する,understand
445,勝ちとる,win
446,殺す,kill
447,支える,support
448,意味する,mean
449,起こる,happen
450,置く,put
451,建てる,build
452,ノックする,knock
453,気づく,notice
454,心配する,worry
455,〜しそこなう・〜がいなくてさびしく思う,miss
456,無駄にする,waste
457,磨く,brush
458,発見する,discover
459,乗る,ride
460,着ている,wear
461,目を覚ます,wake
462,紹介する・導入する,introduce
463,選ぶ,choose
464,持ち上げる,lift
465,励ます,cheer
466,答える,anser
467,望む・願う,hope
468,売る,sell
469,歓迎する,welcome
470,行う,act
471,救う・蓄える,save
472,借りる,borrow
473,(ベルや電話などが）鳴る,ring
474,引く,pull
475,つまむ,pick
476,登る,climb
477,招待する,invite
478,導く,lead
479,不思議に思う,wonder
480,失う,lose
481,受け取る,receive
482,失敗する,fail
483,予期する,expect
484,交換する,exchange
485,持つ・開催する,hold
486,投げる,throw
487,インターネットを見て回る,surf
488,閉じる,shut
489,昇る・上がる,rise
490,上げる・育てる,raise
491,資源,resourse
492,再利用する,reuse
493,環境に優しい,eco-friendly
494,再利用可能な,recyclable
495,分ける(分別する),separate
496,程度・度,degree
497,減らす,reduce
498,ごみ(ごみ箱の),trash
499,(家庭から出る)ごみ,garbage
500,ちり,dust
501,事実,fact
502,運,luck
503,(単科)大学,college
504,(総合)大学,university
505,考え,idea
506,仕事,job
507,趣味,hobby
508,会社・仲間,company
509,芸術,art
510,博物館・美術館,museum
511,写真・絵,picture
512,文化,culture
513,国・いなか,country
514,空港,airport
515,タワー・塔,tower
516,食堂,cafeteria
517,プール,pool
518,競技場,stadium
519,砂浜・浜辺,beach
520,天気・天候,weather
521,雲,cloud
522,北,north
523,東,east
524,南,south
525,西,west
526,旅行・移動,trip
527,道・方法,way
528,場所、置く,place
529,朝食,breakfast
530,昼食,lunch
531,夕食,dinner
532,合唱,chorus
533,値段・価格,price
534,情報,imformation
535,皿・料理,dish
536,海,sea
537,リュックサック,backpack
538,婦人,lady
539,橋,bridge
540,力,power
541,ツアー・旅行,tour
542,休日,holiday
543,警察,police
544,スーツ,suit
545,スーツケース,suitcase
546,湖,lake
547,側・横,side
548,部分,part
549,地球,earth
550,月,moon
551,太陽,sun
552,森,forest
553,農場,farm
554,ドル,dollar
555,(通貨の)円,yen
556,言語,language
557,人生・生活・生命・生物,life
558,サイズ・大きさ,size
559,問題,problem
560,質問,question
561,例,example
562,雑誌,magazine
563,タイトル・題名,title
564,アルバム,album
565,写真,phptograph
566,傘,umbralla
567,切手,stamp
568,1組・ペア,pair
569,年,yaer
570,日,day
571,頂上,top
572,池,pond
573,銀行,bank
574,休暇,vacation
575,空気・大気,air
576,機会・チャンス,chance
577,学年,grade
578,単語・言葉,word
579,植物,plant
580,時間,hour
581,分,minute
582,ロケット,rocket
583,種類、親切な,kind
584,おもちゃ,toy
585,川,river
586,石,stone
587,こと・もの,thing
588,ステージ・段階,stage
589,にわか雨,shower
590,間違い,mistake
591,氷河,glacier
592,太陽の,solar
593,熱帯の,tropical
594,島,island
595,大陸,continent
596,取りかえる,replace
597,結果・効果・影響,effect
598,不足,shortage
599,摂氏,Celsius
600,華氏,Fahrenheit
601,おいしい,delicious
602,眠って,asleep
603,初歩の,elementary
604,年下の,junior
605,年上の,senior
606,深刻な・本気の,serious
607,役立つ,helphul
608,すばらしい,excellent
609,直接の,direct
610,新鮮な,fresh
611,主要な（メジャーな）,major
612,快適な,comfortable
613,ふつうの,normal
614,独特の,unique
615,まれな,rare
616,野生の,wild
617,ひどい,terrible
618,賢い,smart
619,自分自身の、所有する,own
620,公共の,public
621,必要な,necessary
622,甘い,sweet
623,全部の,total
624,きれいな,clear
625,おおざっぱな,rough
626,緊張している,nervous
627,正直な,honest
628,最後の,final
629,可能な・可能性がある,possible
630,不可能な,impossible
631,デジタルの,digital
632,共通の・ふつうの,common
633,失礼な,rude
634,厚い,thick
635,薄い・やせた,thin
636,オンラインの,online
637,巨大な,giant
638,平らな,flat
639,独立した,independent
640,母国の,native
641,注意深い,careful
642,愚かな,foolish
643,(顔などが）青白い,pale
644,魅力的な,attractive
645,丈夫な・骨の折れる,tough
646,混み合った,crowded
647,完璧な,perfect
648,積極的な・自信のある,positive
649,知能の高い,intelligent
650,空（から）の,empty
651,ちいさな,tiny
652,巨大な,huge
653,誇りを持った,proud
654,簡単な・単純な,simple
655,明るい・頭がよい,bright
656,最初の・重要な,primary
657,いくつかの,several
658,恥ずかしがりやの,shy
659,死んでいる,dead
660,平等の,equal
661,(声が・音が）大きい,loud
662,電気の,electric
663,社会の,social
664,正しい,correct
665,(幅の）広い,wide
666,狭い,narrow
667,よく知っている・よく知られている,familiar
668,基礎的な,basic
669,個別の,individual
670,厳しい,strict
671,正確な,exact
672,全体の,whole
673,ばかな・愚かな,stupid
674,プライベートの,private
675,気が狂った・夢中である,crazy
676,主な,main
677,余分な・必要以上の,extra
678,公平な,fair
679,貴重な,precious
680,現代の,modern
681,確かな・確信している,sure
682,毎日の・日常の,daily
683,そのような,such
684,欠席して,absent
685,純粋な・きれいな,pure
686,鋭い,sharp
687,素晴らしい,fantastic
688,礼儀正しい・丁寧な,polite
689,賢い,clever
690,勇敢な,brave
691,年をとる、年齢・時代,age
692,高齢化社会,aging society
693,年配の,elderly
694,世代,generation
695,地元の,local
696,地域社会,community
697,障害,barrier
698,車いす,wheelchair
699,坂・スロープ,slope
700,デザイン,design
701,成功する,succeed
702,創造する,create
703,卒業する,graduate
704,乾かす,dry
705,戦う,fight
706,尊敬する,respect
707,詰める,pack
708,共有する・分ける,share
709,逃げる,escape
710,増える,increase
711,近づく・接近する,approach
712,振る・握る,shake
713,返事をする,reply
714,発展させる・開発する,develop
715,話し合う,discuss
716,忠告する,advise
717,押す,press
718,配達する,deliver
719,思い出させる,remind
720,リラックスさせる,relax
721,固定する・修理する,fix
722,ける,kick
723,広がる・広げる,spread
724,探す・探索する,search
725,追う,follow
726,狩りをする,hunt
727,完成させる,complete
728,合う,fit
729,提供する・申し出る,offer
730,推測する・思う,guess
731,生産する,produce
732,満足させる,satisfy
733,測定する,measure
734,数える,count
735,選択する,select
736,燃える・燃やす,burn
737,翻訳する,translate
738,答える,respond
739,提案する・暗示する,suggest
740,手伝う,assist
741,退職する,retire
742,教育する,educate
743,調べる・試験する,examine
744,追いかける,chase
745,表現する,express
746,加える,add
747,許す,allow
748,好きだ,prefer
749,申し込む,apply
750,扱う・治療する,treat
751,〜のように思われる,seem
752,負傷させる,injure
753,襲う・攻撃する,attack
754,励ます・勧める,encourage
755,輸入する,import
756,輸出する,export
757,貿易する,trade
758,掃（は）く,sweep
759,稼ぐ,earn
760,隠す,hide
761,引き起こす,cause
762,傷つける,hurt
763,属する,belong
764,囲む,surround
765,向上させる・改善する,improve
766,整える・取り決める,arrange
767,与える・供給する,supply
768,証明する,prove
769,取り除く,remove
770,〜のままである,remain
771,満たす,fill
772,横になる・いる・ある,lie
773,置く・横にする,lay
774,食事（エサ）を与える,feed
775,盗む,steal
776,挨拶する,greet
777,賃借りする・賃貸しする,rent
778,苦しむ,suffer
779,〜するのを許す・させる,let
780,経営する・管理する,manage
781,汚染する,pollute
782,折りたたむ,fold
783,比べる・比較する,compare
784,叫ぶ,shout
785,許す,forgive
786,不平をいう,complain
787,つなぐ,connect
788,修理する,repair
789,おじぎをする,bow
790,気にする,mind
791,オリンピック,Olympic
792,伝統的な・従来の,traditional
793,様々な,various
794,（絵）はがき,postcard
795,ほとんど,almost
796,行う,perform
797,穏やかな,mild
798,湿度,humidity
799,県,prefecture
800,マンガ,manga
801,祭り,festival
802,人々,people
803,岩・（音楽の）ロック,rock
804,日記,diary
805,辞書,dictionary
806,仕事・事業,business
807,会議・ミーティング,meeting
808,計画・プロジェクト,project
809,面接・インタビュー,interview
810,技術,skill
811,部門・売り場,department
812,メモ,note
813,支配・制御、支配する・制御する,control
814,劇場・映画館,theater
815,体育館,gym
816,トーナメント,tounament
817,賞,prize
818,結果,result
819,健康,health
820,スケジュール,schedule
821,飛行・便,flight
822,パスポート,passport
823,住所,address
824,静寂・沈黙,silence
825,秘密・秘訣,secret
826,事柄・問題,matter
827,理由,reason
828,贈り物・才能,gift
829,クイズ・小テスト,quiz
830,一枚の紙・シーツ,sheet
831,コピー・（本の）一冊,copy
832,意見,opinion
833,プレゼンテーション・発表,presentation
834,目的,purpose
835,声,voice
836,儀式（セレモニー）,ceremony
837,冗談,joke
838,薬,medicine
839,約束,promise
840,形,shape
841,人間,human
842,ジェスチャー・身振り,gesture
843,ネクタイ,tie
844,布,cloth
845,日付け・デート,date
846,バラ,rose
847,免許（証）,license
848,接客・対応,service
849,食事,meal
850,メニュー,menu
851,ガス・ガソリン,gas
852,道具,tool
853,システム・制度,system
854,中間,medium
855,聴衆・観客,audience
856,火・火事,fire
857,石油・油,oil
858,心配・困難,trouble
859,スタイル・様式,style
860,デザート,dessert
861,屋根,roof
862,戦争,war
863,挑戦・難題,challenge
864,世紀,century
865,冷蔵庫,fridge
866,経験,experience
867,賞,award
868,進路・コース,course
869,騒音,noise
870,工場,factory
871,丘,hill
872,眺め・見方,view
873,天国,heaven
874,レッスン,lesson
875,計画,plan
876,階段・足元,step
877,報告書,report
